Classes

subject_name,class
Abra,Abra
Aerodactyl,Aerodactyl
Alakazam,Alakazam
Arbok,Arbok
Arcanine,Arcanine
Articuno,Articuno
Beedrill,Beedrill
Bellsprout,Bellsprout
Blastoise,Blastoise
Bulbasaur,Bulbasaur
Butterfree,Butterfree
Caterpie,Caterpie
Chansey,Chansey
Charizard,Charizard
Charmander,Charmander
Charmeleon,Charmeleon
Clefable,Clefable
Clefairy,Clefairy
Cloyster,Cloyster
Cubone,Cubone
Dewgong,Dewgong
Diglett,Diglett
Ditto,Ditto
Dodrio,Dodrio
Doduo,Doduo
Dragonair,Dragonair
Dragonite,Dragonite
Dratini,Dratini
Drowzee,Drowzee
Dugtrio,Dugtrio
Eevee,Eevee
Ekans,Ekans
Electabuzz,Electabuzz
Electrode,Electrode
Exeggcute,Exeggcute
Exeggutor,Exeggutor
Farfetchd,Farfetchd
Fearow,Fearow
Flareon,Flareon
Gastly,Gastly
Gengar,Gengar
Geodude,Geodude
Gloom,Gloom
Golbat,Golbat
Goldeen,Goldeen
Golduck,Golduck
Golem,Golem
Graveler,Graveler
Grimer,Grimer
Growlithe,Growlithe
Gyarados,Gyarados
Haunter,Haunter
Hitmonchan,Hitmonchan
Hitmonlee,Hitmonlee
Horsea,Horsea
Hypno,Hypno
Ivysaur,Ivysaur
Jigglypuff,Jigglypuff
Jolteon,Jolteon
Jynx,Jynx
Kabuto,Kabuto
Kabutops,Kabutops
Kadabra,Kadabra
Kakuna,Kakuna
Kangaskhan,Kangaskhan
Kingler,Kingler
Koffing,Koffing
Krabby,Krabby
Lapras,Lapras
Lickitung,Lickitung
Machamp,Machamp
Machoke,Machoke
Machop,Machop
Magikarp,Magikarp
Magmar,Magmar
Magnemite,Magnemite
Magneton,Magneton
Mankey,Mankey
Marowak,Marowak
Meowth,Meowth
Metapod,Metapod
Mew,Mew
Mewtwo,Mewtwo
Moltres,Moltres
MrMime,MrMime
Muk,Muk
Nidoking,Nidoking
Nidoqueen,Nidoqueen
Nidorina,Nidorina
Nidorino,Nidorino
Ninetales,Ninetales
Oddish,Oddish
Omanyte,Omanyte
